date,open,high,low,volume,close
1/17/1994,27.4552,27.4914,27.401,17700,27.4552
1/18/1994,27.4914,27.5276,27.4372,166400,27.4914
1/19/1994,27.4552,27.4914,27.3648,200800,27.419
1/20/1994,27.4552,27.5096,27.4372,281100,27.4914
1/21/1994,27.5276,27.5276,27.419,85600,27.4372
1/24/1994,27.419,27.5458,27.3286,373800,27.3286
1/25/1994,27.3466,27.3648,27.2743,310400,27.3286
1/26/1994,27.3286,27.419,27.2924,145100,27.401
1/27/1994,27.4552,27.6905,27.419,344500,27.6543
1/28/1994,27.7629,27.8172,27.7267,356500,27.7267
1/31/1994,27.8353,27.9801,27.7991,313800,27.9258
2/1/1994,27.8896,27.8896,27.7448,303600,27.781
2/2/1994,27.8715,27.962,27.8534,307600,27.962
2/3/1994,27.9077,27.9077,27.7448,466100,27.8353
2/4/1994,27.8353,27.8715,27.2019,1403200,27.2019
2/7/1994,27.1295,27.401,27.1295,516400,27.3286
2/8/1994,27.3828,27.3828,27.2381,188200,27.3466
2/9/1994,27.3648,27.4734,27.3286,144600,27.4552
2/10/1994,27.4372,27.4552,27.22,883900,27.22
2/11/1994,27.2381,27.3828,27.1114,519400,27.3104
2/14/1994,27.2562,27.4372,27.22,2742100,27.3466
2/15/1994,27.401,27.5096,27.3648,374700,27.4914
2/16/1994,27.5276,27.5276,27.419,287600,27.4734
2/17/1994,27.6,27.6182,27.2381,342400,27.3104
2/18/1994,27.3286,27.3466,27.0752,313300,27.1476
2/22/1994,27.22,27.419,27.22,154500,27.419
2/23/1994,27.4552,27.4734,27.2562,391700,27.3466
2/24/1994,27.2562,27.2562,26.9666,770800,26.9847
2/25/1994,27.0209,27.1114,26.9666,531300,27.1114
2/28/1994,27.1838,27.2562,27.1114,333000,27.1114
3/1/1994,27.1114,27.1657,26.858,423600,27.0028
3/2/1994,26.6589,27.039,26.5865,581500,27.039
3/3/1994,27.0028,27.0028,26.8942,223200,26.9666
3/4/1994,26.9666,27.1114,26.8761,595800,27.039
3/7/1994,27.1295,27.22,27.1295,539800,27.1838
3/8/1994,27.2019,27.2019,27.039,880300,27.0752
3/9/1994,27.1114,27.22,26.9847,2500100,27.2019
3/10/1994,27.1838,27.1838,26.8942,207400,26.9847
3/11/1994,27.0209,27.1657,26.8761,576600,27.1295
3/14/1994,27.2381,27.2381,27.1295,345900,27.1657
3/15/1994,27.22,27.2743,27.1295,748600,27.1476
3/16/1994,27.1838,27.3648,27.0933,455500,27.3648
3/17/1994,27.2743,27.401,27.2743,133000,27.3648
3/18/1994,27.2314,27.3952,27.2132,365500,27.3588
3/21/1994,27.2678,27.3406,27.2132,324800,27.286
3/22/1994,27.286,27.4134,27.2314,435700,27.3588
3/23/1994,27.3406,27.4134,27.3224,698500,27.3406
3/24/1994,27.2314,27.286,26.8855,1200500,27.013
3/25/1994,27.0312,27.104,26.7581,100900,26.7581
3/28/1994,26.7946,26.831,26.5579,1117200,26.7946
3/29/1994,26.7946,26.8127,26.2666,338400,26.2666
3/30/1994,26.2849,26.3577,25.9026,1123900,25.9026
3/31/1994,25.9026,26.03,25.3565,788800,25.9754
4/4/1994,25.2473,25.6477,25.2473,2627300,25.5749
4/5/1994,25.8298,26.1028,25.8298,1179000,26.1028
4/6/1994,26.1392,26.1574,25.9208,516500,26.1028
4/7/1994,26.0846,26.2849,25.939,666100,26.2302
4/8/1994,26.1757,26.1757,25.9026,242400,26.03
4/11/1994,26.1028,26.2485,26.0391,203300,26.1392
4/12/1994,26.1665,26.2121,26.0482,1409200,26.1028
4/13/1994,26.0937,26.1574,25.7752,364100,25.9663
4/14/1994,25.9208,26.1119,25.8662,419900,25.9754
4/15/1994,25.9663,26.0846,25.9299,387300,25.9754
4/18/1994,26.0027,26.0755,25.7206,369100,25.8025
4/19/1994,25.7752,25.939,25.6204,472200,25.8389
4/20/1994,25.8662,25.9299,25.6751,508000,25.8116
4/21/1994,25.9208,26.1938,25.8298,200300,26.1574
4/22/1994,26.2211,26.2393,26.0573,301800,26.1301
4/25/1994,26.121,26.4213,26.121,394600,26.4032
4/26/1994,26.3668,26.4123,26.3213,399000,26.3759
4/28/1994,26.3213,26.3577,26.1028,287000,26.1847
4/29/1994,26.1392,26.303,26.1028,481900,26.2666
5/2/1994,26.2666,26.6307,26.1757,275000,26.4305
5/3/1994,26.4396,26.4487,26.2485,183400,26.4032
5/4/1994,26.4578,26.4578,26.2576,401900,26.3577
5/5/1994,26.3849,26.4305,26.3213,659800,26.3213
5/6/1994,26.1938,26.1938,25.9754,216300,26.0664
5/9/1994,25.9936,26.0664,25.7934,499300,25.8389
5/10/1994,25.9663,26.121,25.9481,583400,26.0391
5/11/1994,26.0118,26.0482,25.7296,210600,25.8025
5/12/1994,25.9663,25.9936,25.8662,305200,25.9299
5/13/1994,26.0027,26.0027,25.8025,321300,25.9299
5/16/1994,25.9845,26.0664,25.9299,450400,25.939
5/17/1994,25.9572,26.3213,25.9208,470200,26.3213
5/18/1994,26.3395,26.6125,26.2211,824800,26.5124
5/19/1994,26.4578,26.7126,26.4578,531000,26.6398
5/20/1994,26.5943,26.6125,26.5033,370400,26.5397
