date,open,high,low,close,volume
4/12/2019,268.263,268.6977,266.6543,268.411,69701774
4/15/2019,268.485,268.5867,267.4073,268.2352,49578052
4/16/2019,269.1418,269.1973,267.8004,268.411,52127286
4/17/2019,269.558,269.5812,267.3287,267.7542,58145586
4/18/2019,268.3555,268.559,267.0234,268.2815,68708513
4/22/2019,267.4952,268.6654,267.4027,268.5127,40160140
4/23/2019,268.892,271.1676,268.6515,270.9271,52189887
4/24/2019,270.8438,271.1861,270.1778,270.3258,50358501
4/25/2019,270.2241,270.8346,268.9383,270.1593,57770862
4/26/2019,270.2056,271.4914,269.4101,271.4174,50916423
4/29/2019,271.5099,272.3794,271.4174,271.8429,57197747
4/30/2019,271.4914,272.2777,270.0391,271.9817,81111733
5/1/2019,272.6292,272.8419,269.9281,269.9373,71671870
5/2/2019,269.817,270.7606,267.819,269.3545,65030170
5/3/2019,270.8716,272.2777,269.4653,271.9909,56516723
5/6/2019,267.5692,271.3249,267.2454,270.8716,107198069
5/7/2019,268.4017,269.0123,264.387,266.3481,144563154
5/8/2019,265.9781,267.7357,265.3676,265.9781,91512947
5/9/2019,263.8505,265.7931,262.0652,265.1733,103471104
5/10/2019,264.2113,267.2824,261.1401,266.5054,112380054
5/13/2019,261.2511,262.2409,258.9478,259.8081,127290527
5/14/2019,260.8534,263.7303,260.7239,262.1577,76954311
5/15/2019,260.4833,264.35,260.2706,263.6933,73861158
5/16/2019,264.4148,267.5322,264.3408,266.1354,76684778
5/17/2019,263.7673,266.9679,263.7494,264.4148,100353024
5/20/2019,262.7682,264.0355,261.8987,262.6665,62775223
5/21/2019,264.4055,265.4231,264.1465,265.0346,46847085
5/22/2019,264.054,265.2011,263.7303,264.2205,49415848
5/23/2019,261.9357,261.9819,259.5398,260.9921,98662584
5/24/2019,262.4722,262.8977,260.9459,261.5841,55268095
5/28/2019,261.8709,262.8515,259.1328,259.1513,70029356
5/29/2019,258.0042,258.4205,255.9691,257.4122,104972927
5/30/2019,258.1892,259.0495,256.9821,258.1152,61259925
5/31/2019,255.4974,256.3484,254.6093,254.6371,86758995
6/3/2019,254.6741,255.8231,252.6205,253.9895,96299769
6/4/2019,256.3484,259.6416,255.8859,259.5028,77124332
6/5/2019,261.1679,261.7784,259.3085,261.7507,71169717
6/6/2019,262.0559,264.1465,261.3899,263.4527,69370887
6/7/2019,264.498,267.1992,264.3223,266.0891,74234655
6/10/2019,267.6802,269.0215,267.2208,267.3102,60723460
6/11/2019,269.1788,269.558,266.5799,267.2454,58601045
6/12/2019,267.0049,267.5784,266.2417,266.7737,47058443
6/13/2019,267.7079,268.2445,266.9864,267.8745,48894632
6/14/2019,267.5784,268.1982,266.7922,267.5784,52324716
6/17/2019,267.819,268.4665,267.5044,267.6802,39142877
6/18/2019,269.5488,271.5654,269.1788,270.4831,85244302
6/19/2019,270.6218,271.6394,269.6228,271.0936,78519949
6/20/2019,273.8502,274.0994,271.1542,273.6837,116489283
6/21/2019,273.4083,274.7004,273.0644,273.2874,83309466
6/24/2019,273.5012,273.8266,272.7948,272.9528,47562557
6/25/2019,273.0086,273.0365,270.1642,270.2757,81834041
6/26/2019,271.196,271.7165,269.8899,270.0061,51584902
6/27/2019,270.787,271.4841,270.3965,270.9636,40256887
